MP:0000001	mammalian phenotype	哺乳類の表現型
MP:0000002	obsolete Morphology	OBSOLETE
MP:0000003	abnormal adipose tissue morphology	脂肪組織の形態異常
MP:0000005	increased brown adipose tissue amount	褐色脂肪組織量の増加
MP:0000008	increased white adipose tissue amount	白色脂肪組織量の増加
MP:0000010	abnormal abdominal fat pad morphology	腹部脂肪体形態異常
MP:0000012	obsolete loss of subcutaneous adipose tissue	OBSOLETE
MP:0000013	abnormal adipose tissue distribution	脂肪組織分布異常
MP:0000015	abnormal ear pigmentation	耳の色素沈着異常
MP:0000017	big ears	耳の巨大化
MP:0000018	small ears	耳の矮小化
MP:0000019	thick ears	厚い耳
MP:0000020	scaly ears	鱗状の耳
MP:0000021	prominent ears	突出した耳
MP:0000022	abnormal ear shape	耳の形態異常
MP:0000023	abnormal ear position	耳の配置異常
MP:0000024	lowered ear position	耳の低い配置
MP:0000025	otic hypertelorism	両耳隔離症
MP:0000026	abnormal inner ear morphology	内耳の形態異常
MP:0000027	obsolete horizontal canal defects	OBSOLETE
MP:0000028	abnormal pars superior vestibularis morphology	前庭上部の形態異常
MP:0000029	abnormal malleus morphology	槌骨の形態異常
MP:0000030	abnormal tympanic ring morphology	鼓室輪の形態異常
MP:0000031	abnormal cochlea morphology	蝸牛の形態異常
MP:0000032	cochlear degeneration	蝸牛の退行変性
MP:0000033	absent scala media	中心階の欠如
MP:0000034	abnormal inner ear vestibule morphology	内耳前庭の形態異常
MP:0000035	abnormal membranous labyrinth morphology	膜迷路の異常
MP:0000036	absent semicircular canals	半規管の欠如
MP:0000037	abnormal lateral semicircular canal morphology	外側骨半規管の異常
MP:0000038	obsolete thin semicircular canals	OBSOLETE
MP:0000039	abnormal otic capsule morphology	耳嚢の形態異常
MP:0000040	absent middle ear ossicles	中耳骨片の欠如
MP:0000041	absent endolymphatic duct	内リンパ管の欠如
MP:0000042	abnormal organ of Corti morphology	コルチ器官の異常
MP:0000043	organ of Corti degeneration	コルチ器官の退行変性
MP:0000044	absent organ of Corti	コルチ器欠如
MP:0000045	abnormal hair cell morphology	有毛細胞の形態異常
MP:0000046	abnormal sulcus ampullaris morphology	膨大部溝の形態異常
MP:0000047	obsolete abnormal interdental cells	OBSOLETE
MP:0000048	abnormal stria vascularis morphology	血管条の異常
MP:0000049	abnormal middle ear morphology	中耳の形態異常
MP:0000051	obsolete absent process brevus	OBSOLETE
MP:0000052	early ear unfolding	耳の早期展開
MP:0000053	excessive ear growth	耳の過剰発達
MP:0000054	delayed ear emergence	耳の発生遅延
MP:0000060	delayed bone ossification	骨形成遅延
MP:0000061	fragile skeleton	脆弱な骨格
MP:0000062	increased bone mineral density	骨密度上昇
MP:0000063	decreased bone mineral density	骨密度低下
MP:0000064	failure of bone resorption	二次骨吸収不全
MP:0000065	abnormal bone marrow cavity morphology	骨髄腔形態異常
MP:0000066	osteoporosis	骨粗鬆症
MP:0000067	osteopetrosis	大理石骨病
MP:0000069	kyphoscoliosis	脊柱後側弯
MP:0000071	axial skeleton hypoplasia	中軸骨格の形成不全
MP:0000073	absent craniofacial bones	頭蓋顔面骨の欠如
MP:0000074	abnormal neurocranium morphology	神経頭蓋の形態異常
MP:0000075	absent neurocranium	神経頭蓋の欠如
MP:0000077	abnormal interparietal bone morphology	頭頂間骨の形態異常
MP:0000078	abnormal supraoccipital bone morphology	上後頭骨の形態異常
MP:0000079	abnormal basioccipital bone morphology	底後頭骨形態異常
MP:0000080	abnormal exoccipital bone morphology	外後頭骨の形態異常
MP:0000081	premature cranial suture closure	頭蓋骨縫合の早期癒合
MP:0000082	overlapping parietal bones	頭頂骨重複
MP:0000083	obsolete ectopic cranial bone growth	OBSOLETE
MP:0000084	abnormal fontanelle morphology	泉門の形態異常
MP:0000085	large anterior fontanelle	大泉門肥大
MP:0000087	absent mandible	下顎骨の欠如
MP:0000088	short mandible	下顎骨の短縮
MP:0000090	absent premaxilla	前上顎骨の欠如
MP:0000091	short premaxilla	前上顎骨の短縮
MP:0000094	absent alveolar process	歯槽突起の欠如
MP:0000097	short maxilla	上顎骨の短縮
MP:0000098	abnormal vomer bone morphology	鋤骨の形態異常
MP:0000099	absent vomer bone	鋤骨の欠如
MP:0000100	abnormal ethmoid bone morphology	篩骨の形態異常
MP:0000101	absent ethmoid bone	篩骨の欠如
MP:0000102	abnormal nasal bone morphology	鼻骨の形態異常
MP:0000103	nasal bone hypoplasia	鼻骨の形成不全
MP:0000104	abnormal sphenoid bone morphology	蝶形骨の形態異常
MP:0000105	impaired ossification of basisphenoid bone	底蝶形骨の骨化障害
MP:0000106	abnormal basisphenoid bone morphology	底蝶形骨形態異常
MP:0000107	abnormal frontal bone morphology	前頭骨の形態異常
MP:0000108	midline facial cleft	正中顔面裂
MP:0000109	abnormal parietal bone morphology	頭頂骨の形態異常
MP:0000111	cleft palate	口蓋裂
MP:0000114	cleft chin	頤中裂
MP:0000116	abnormal tooth development	歯の発生異常
MP:0000117	absent tooth placode	歯の原基欠如
MP:0000118	arrest of tooth development	歯の発生停止
MP:0000119	abnormal tooth eruption	歯の萌出異常
MP:0000120	malocclusion	不正咬合
MP:0000121	failure of tooth eruption	歯の萌出不全
MP:0000122	premature tooth eruption	歯の早期萌出
MP:0000124	obsolete absent teeth	OBSOLETE
MP:0000125	absent incisors	切歯の欠如
MP:0000126	brittle teeth	脆い歯
MP:0000127	degenerate molars	臼歯萎縮
MP:0000128	growth retardation of molars	臼歯の発生遅延
MP:0000129	ameloblast degeneration	エナメル芽細胞の退行変性
MP:0000130	abnormal trabecular bone morphology	海綿骨の形態異常
MP:0000131	abnormal long bone epiphysis morphology	長骨骨端の形態異常
MP:0000132	thickened long bone epiphysis	骨端肥大
MP:0000133	abnormal long bone metaphysis morphology	長骨骨幹端の形態異常
MP:0000134	abnormal compact bone thickness	皮質骨の厚さ異常
MP:0000135	decreased compact bone thickness	薄い皮質骨
MP:0000136	abnormal microglial cell morphology	ミクログリア細胞の形態異常
MP:0000137	abnormal vertebrae morphology	椎骨の形態異常
MP:0000138	absent vertebrae	椎骨の欠如
MP:0000139	absent vertebral transverse processes	椎骨横突起の欠如
MP:0000140	absent vertebral pedicles	椎弓根の欠如
MP:0000141	abnormal vertebral body morphology	椎体の形態異常
MP:0000142	obsolete An Extra Piece of Bone Rostral to C1	OBSOLETE
MP:0000143	obsolete Broadening/Splitting of the Neural Arch of C2	OBSOLETE
MP:0000148	obsolete abnormal shoulder/ pelvic girdle morphology	OBSOLETE
MP:0000149	abnormal scapula morphology	肩甲骨の形態異常
MP:0000150	abnormal rib morphology	肋骨の形態異常
MP:0000151	absent ribs	肋骨の欠如
MP:0000152	absent proximal rib	肋骨基部の欠如
MP:0000153	rib bifurcation	肋骨の分岐
MP:0000154	rib fusion	肋骨の癒合
MP:0000155	asymmetric rib joints	肋骨の非対称な付着
MP:0000156	obsolete Presence of 6 Vertebrosternal Ribs instead of 7	OBSOLETE
MP:0000157	abnormal sternum morphology	胸骨の形態異常
MP:0000158	absent sternum	胸骨の欠如
MP:0000159	abnormal xiphoid process morphology	剣状突起の異常
MP:0000160	kyphosis	脊柱後弯症
MP:0000161	scoliosis	脊柱側弯症
MP:0000162	lordosis	脊柱前弯症
MP:0000163	abnormal cartilage morphology	軟骨形態異常
MP:0000164	abnormal cartilage development	軟骨発生異常
MP:0000165	abnormal long bone hypertrophic chondrocyte zone	長骨肥大性軟骨細胞帯域の異常
MP:0000166	abnormal chondrocyte morphology	軟骨細胞の形態異常
MP:0000167	decreased chondrocyte number	軟骨細胞数の減少
MP:0000168	abnormal bone marrow development	骨髄発生異常
MP:0000172	abnormal bone marrow cell number	骨髄細胞数異常
MP:0000175	absent bone marrow cell	骨髄細胞の欠如
MP:0000176	obsolete bone marrow occupied by adipocytes	OBSOLETE
MP:0000180	abnormal circulating cholesterol level	コレステロール血中濃度異常
MP:0000181	abnormal circulating LDL cholesterol level	LDLコレステロール血中濃度異常
MP:0000182	increased circulating LDL cholesterol level	LDLコレステロール血中濃度上昇
MP:0000183	decreased circulating LDL cholesterol level	LDLコレステロール血中濃度低下
MP:0000184	abnormal circulating HDL cholesterol level	HDLコレステロールの血中濃度異常
MP:0000186	decreased circulating HDL cholesterol level	HDLコレステロール血中濃度低下
MP:0000187	abnormal triglyceride level	中性脂肪水準の異常
MP:0000188	abnormal circulating glucose level	グルコースの血中濃度異常
MP:0000189	hypoglycemia	低血糖症
MP:0000192	abnormal mineral level	ミネラル値の異常
MP:0000194	increased circulating calcium level	カルシウム血中濃度上昇
MP:0000195	decreased circulating calcium level	カルシウム血中濃度低下
MP:0000198	decreased circulating phosphate level	リン血中濃度低下
MP:0000199	abnormal circulating serum albumin level	血清アルブミン血中濃度異常
MP:0000202	abnormal circulating alkaline phosphatase level	アルカリフォスファターゼ血中濃度異常
MP:0000203	abnormal circulating aspartate transaminase level	アスパラギン酸アミノ基転移酵素の血中濃度異常
MP:0000208	decreased hematocrit	ヘマトクリット減少
MP:0000215	absent erythrocytes	赤血球の欠如
MP:0000216	absent erythroid progenitor cell	赤血球前駆細胞の欠如
MP:0000217	abnormal leukocyte cell number	白血球数の異常
MP:0000218	increased leukocyte cell number	白血球数の増加
MP:0000219	increased neutrophil cell number	好中球数の増加
MP:0000220	increased monocyte cell number	単球数の増加
MP:0000221	decreased leukocyte cell number	白血球数の減少
MP:0000222	decreased neutrophil cell number	好中球数の減少
MP:0000223	decreased monocyte cell number	単球数の減少
MP:0000226	abnormal mean corpuscular volume	平均赤血球容積の異常
MP:0000228	abnormal thrombopoiesis	血小板新生の異常
MP:0000229	abnormal megakaryocyte differentiation	巨核球分化の異常
MP:0000230	abnormal systemic arterial blood pressure	血圧異常
MP:0000231	hypertension	高血圧症
MP:0000233	abnormal blood flow velocity	血流速度異常
MP:0000237	obsolete decreased blood cell number	OBSOLETE
MP:0000238	absent pre-B cells	pre-B細胞欠如
MP:0000239	absent common myeloid progenitor cells	通常骨髄前駆細胞の欠如
MP:0000240	extramedullary hematopoiesis	延髄外の血球新生
MP:0000242	impaired fertilization	受精障害
MP:0000243	myoclonus	間代性筋痙攣
MP:0000245	abnormal erythropoiesis	赤血球新生の異常
MP:0000247	obsolete abnormal interleukin-10 physiology	OBSOLETE
MP:0000248	macrocytosis	大赤血球症
MP:0000249	abnormal blood vessel physiology	血管の生理異常
MP:0000250	abnormal vasoconstriction	血管収縮の異常
MP:0000255	blood vessel congestion	脈管構造のうっ血
MP:0000256	echinocytosis	棘状赤血球症
MP:0000259	abnormal vascular development	血管の発生異常
MP:0000260	abnormal angiogenesis	血管新生異常
MP:0000262	poor arterial differentiation	動脈分化不全
MP:0000263	absent organized vascular network	組織的な血管網の欠如
MP:0000264	failure of vascular branching	血管の分枝不全
MP:0000265	blood vessel atresia	脈管構造閉鎖症
MP:0000266	abnormal heart morphology	心臓の形態異常
MP:0000267	abnormal heart development	心臓の発生異常
MP:0000268	obsolete abnormal anterior cardiac development	OBSOLETE
MP:0000269	abnormal heart looping	原始心筒の形態異常
MP:0000270	abnormal heart tube morphology	心筒の形態異常
